	userid	otheruserid	dt	liked
500	591689	487978	2017-08-15T21:39:31.0000000	False
501	637843	602813	2017-08-15T21:39:31.0000000	True
502	591689	87386	2017-08-15T21:39:31.0000000	False
503	591689	640659	2017-08-15T21:39:31.0000000	True
504	640845	624256	2017-08-15T21:39:30.0000000	True
505	640845	623493	2017-08-15T21:39:30.0000000	True
506	640845	601317	2017-08-15T21:39:29.0000000	True
507	640845	597161	2017-08-15T21:39:29.0000000	True
508	590121	610830	2017-08-15T21:39:28.0000000	False
509	590121	614427	2017-08-15T21:39:28.0000000	False
510	590121	535850	2017-08-15T21:39:28.0000000	False
511	590121	621890	2017-08-15T21:39:28.0000000	False
512	590121	615737	2017-08-15T21:39:28.0000000	True
513	590121	623626	2017-08-15T21:39:28.0000000	False
514	590121	627379	2017-08-15T21:39:28.0000000	False
515	590121	635619	2017-08-15T21:39:28.0000000	False
516	590121	635694	2017-08-15T21:39:28.0000000	False
517	590121	342400	2017-08-15T21:39:28.0000000	False
518	590121	564898	2017-08-15T21:39:28.0000000	False
519	640845	578735	2017-08-15T21:39:28.0000000	True
520	590121	626235	2017-08-15T21:39:28.0000000	False
521	590121	638813	2017-08-15T21:39:28.0000000	False
522	590121	639245	2017-08-15T21:39:28.0000000	False
523	590121	640306	2017-08-15T21:39:28.0000000	False
524	640845	620263	2017-08-15T21:39:28.0000000	True
525	640896	565527	2017-08-15T21:39:28.0000000	False
526	640896	450245	2017-08-15T21:39:28.0000000	False
527	640896	569203	2017-08-15T21:39:28.0000000	False
528	640896	589538	2017-08-15T21:39:28.0000000	False
529	640896	568566	2017-08-15T21:39:28.0000000	True
530	637843	566028	2017-08-15T21:39:27.0000000	True
531	608414	635167	2017-08-15T21:39:27.0000000	False
532	608414	640103	2017-08-15T21:39:27.0000000	True
533	608414	640703	2017-08-15T21:39:27.0000000	False
534	640896	481267	2017-08-15T21:39:27.0000000	False
535	640896	494685	2017-08-15T21:39:27.0000000	False
536	640896	560566	2017-08-15T21:39:27.0000000	False
537	640896	573456	2017-08-15T21:39:27.0000000	True
538	640464	556006	2017-08-15T21:39:26.0000000	True
539	443861	630348	2017-08-15T21:39:26.0000000	True
540	608414	382780	2017-08-15T21:39:25.0000000	False
541	608414	567217	2017-08-15T21:39:25.0000000	False
542	608414	639095	2017-08-15T21:39:25.0000000	False
543	608414	639652	2017-08-15T21:39:25.0000000	False
544	608414	637814	2017-08-15T21:39:25.0000000	False
545	640845	554224	2017-08-15T21:39:25.0000000	True
546	608414	640828	2017-08-15T21:39:25.0000000	False
547	608414	639919	2017-08-15T21:39:25.0000000	True
548	639527	629574	2017-08-15T21:39:24.0000000	False
549	640845	624116	2017-08-15T21:39:24.0000000	True
550	639527	505031	2017-08-15T21:39:24.0000000	False
551	640845	584708	2017-08-15T21:39:24.0000000	True
552	639527	495140	2017-08-15T21:39:24.0000000	True
553	639058	10518	2017-08-15T21:39:23.0000000	True
554	608414	638967	2017-08-15T21:39:23.0000000	True
555	640870	378963	2017-08-15T21:39:23.0000000	True
556	639058	219897	2017-08-15T21:39:23.0000000	False
557	640896	575206	2017-08-15T21:39:23.0000000	False
558	640845	612167	2017-08-15T21:39:23.0000000	True
559	640896	471217	2017-08-15T21:39:23.0000000	True
560	640896	592649	2017-08-15T21:39:23.0000000	False
561	608414	640804	2017-08-15T21:39:22.0000000	True
562	640845	615309	2017-08-15T21:39:22.0000000	True
563	640845	635987	2017-08-15T21:39:21.0000000	True
564	640896	472099	2017-08-15T21:39:21.0000000	True
565	640896	455026	2017-08-15T21:39:21.0000000	True
566	640896	475689	2017-08-15T21:39:20.0000000	False
567	640713	634349	2017-08-15T21:39:20.0000000	True
568	640896	150826	2017-08-15T21:39:20.0000000	True
569	640845	617208	2017-08-15T21:39:19.0000000	True
570	639578	333746	2017-08-15T21:39:18.0000000	True
571	608414	637375	2017-08-15T21:39:17.0000000	True
572	608414	424317	2017-08-15T21:39:17.0000000	True
573	608414	626123	2017-08-15T21:39:16.0000000	False
574	608414	575428	2017-08-15T21:39:16.0000000	True
575	616224	555020	2017-08-15T21:39:16.0000000	True
576	639058	104444	2017-08-15T21:39:16.0000000	False
577	608414	639444	2017-08-15T21:39:16.0000000	False
578	639058	204058	2017-08-15T21:39:16.0000000	True
579	640894	508899	2017-08-15T21:39:16.0000000	False
580	616224	551558	2017-08-15T21:39:16.0000000	False
581	640894	596622	2017-08-15T21:39:16.0000000	False
582	640894	488496	2017-08-15T21:39:16.0000000	False
583	640894	610404	2017-08-15T21:39:16.0000000	True
584	640894	500708	2017-08-15T21:39:16.0000000	False
585	640894	593124	2017-08-15T21:39:16.0000000	True
586	608414	636346	2017-08-15T21:39:15.0000000	True
587	608414	542537	2017-08-15T21:39:15.0000000	False
588	640713	617207	2017-08-15T21:39:15.0000000	False
589	608414	520880	2017-08-15T21:39:15.0000000	False
590	640870	114	2017-08-15T21:39:15.0000000	False
591	640713	621353	2017-08-15T21:39:15.0000000	False
592	640870	179185	2017-08-15T21:39:15.0000000	False
593	640713	631107	2017-08-15T21:39:15.0000000	True
594	640870	440141	2017-08-15T21:39:15.0000000	False
595	640870	68710	2017-08-15T21:39:15.0000000	False
596	640870	182470	2017-08-15T21:39:15.0000000	True
597	640870	296947	2017-08-15T21:39:15.0000000	False
598	640870	116301	2017-08-15T21:39:15.0000000	False
599	629421	635975	2017-08-15T21:39:13.0000000	False
600	629421	633169	2017-08-15T21:39:13.0000000	False
601	629421	542515	2017-08-15T21:39:13.0000000	True
